Title,Score
U.S. Banks Don't Want To Be Forced To Lend Money To Oil & Gas,-0.5
Exxon Discloses Value-Chain Emissions,-1
Guards Block Oil Loading At Libyan Port,0.09090909090909091
"Alaska Judge Rules In Favor Of Oil, Gas Drilling In Wildlife Refuge",0.1111111111111111
Oil Rally Unaffected By Major Product Builds,0.36
These U.S. Oil States Are Holding Lease Sales In January,0.3333333333333333
Investment In Canada’s Oil Industry Set To Grow 12% In 2021,0.125
Somalian Opposition Suspects Government Will Sign Secret Oil Deals,1
South Korea Sends Military Forces To Strait Of Hormuz After Tanker Seizure,-0.5
Trump Administration Finalizes Alaska Oil Drilling Plan,0.3333333333333333
Venezuela’s 2020 Oil Exports Plunged To The Lowest Level In 77 Years,-0.5
Russia’s Annual Oil Production Drops For The First Time Since 2008,-0.391304347826087
Natural Gas Prices Jump On Cold Weather Forecast,0.2
"Tesla Hit Target Of 500,000 Vehicle Deliveries In 2020",0.7142857142857143
Gold Rallies Into The New Year,0.36363636363636365
Iraq Seals Much-Needed $2 Billion Oil Deal With China,-0.3333333333333333
Oil Highly Volatile During OPEC+ Meeting,0.06666666666666667
Iran Seizes South Korea-Flagged Oil Tanker In Persian Gulf,-1
Possible Mine Found On Oil Tanker Off Iraq,-0.5714285714285714
Exxon Set For Fourth Loss In 2020 After $20-Billion Write-Down,0.5294117647058824
OPEC+ Compliance Continues To Exceed 100%,0.29411764705882354
Gazprom’s Oil Unit Plunges Into Crypto Mining,0.3333333333333333
Iran To Buy Covid Vaccines With Income From Gas Exports To Iraq,0.5
UAE-Based Firms Help Venezuela’s Oil Exports To Skirt U.S. Sanctions,0.3333333333333333
Oil Prices Continue Climb On Large Crude Draw,0.3
Enbridge Line 3 Pipeline Opponents Demand Halt Of Construction,-1
Iran Cuts Power Supply To Iraq On Unpaid Debt,-0.5294117647058824
BMW To Challenge Tesla With Ambitious EV Plan,0.3333333333333333
China's Energy Shortage Threatens Bitcoin Mining,0.07692307692307693
Natural Gas Prices Plunge 10% On Extremely Bearish Weather Forecast,0.2
Mexico Restricts Fuel Imports Of Private Firms,-0.375
Saudi Aramco Discovers 4 New Oil And Gas Fields,0.07692307692307693
How Much Worse Can Things Get For Nikola?,-0.29411764705882354
U.S. To Drive A Stake Through The Heart Of Nord Stream 2,-0.2
Talos Continues Talks With Pemex Over Massive Shared Oil Discovery Off Mexico,1
Russia’s Crude Oil Exports Drop 10% In January-October,-0.7333333333333333
Venezuela Oil Union Leader Accuses Maduro Of Persecution,-1
Nord Stream-2 Pipe-Laying To Restart In Denmark,0.3333333333333333
Surprise Crude Build Sends Oil Prices Lower,-0.21739130434782608
Pipeline Crunch Cost Canadian Heavy Oil Producers Over $14 Billion,-0.21428571428571427
Norway’s Supreme Court Rejects Green Groups’ Challenge To Arctic Oil Drilling,0.14285714285714285
"Exxon Guyana Well Hits 120,000 Bpd Milestone",0.38461538461538464
China Issues Higher Oil Import Quotas For 2021,0.47368421052631576
Iran Wooing Russian Oil Companies,0.09090909090909091
Russia Cries War As U.S. Tries To Kill Nord Stream 2,-0.3333333333333333
Shell’s 2020 Write Downs Could Soar To $22 Billion,0
China Restricts Electricity Use Amid Coal Shortage,-0.625
Shell Divests LNG Stake For $2.5 Billion,0.75
OPEC+ Plans To Meet More Frequently To Discuss Oil Market Balancing,0.6
Iraq’s Flaring Policy Is Broken,0
China's Top Refiner Sees Oil Product Demand Peak By 2025,0.4444444444444444
Trans Mountain Oil Pipeline Halts Work After Serious Injury,0.42857142857142855
Coal Consumption Set to Jump In 2021,0.3333333333333333
Colorado Oil And Gas Lease Sale Ends With Few Takers,0
U.S. Backs EastMed Pipeline To Supply Gas To Europe,1
SEC Eases Disclosure Rule On Oil Payments To Governments,1
Toyota: There’s Too Much Hype Over EVs   ,0.6666666666666666
U.S. Shale Patch Reduced Breakeven Costs By 20% This Year,-0.6
Saudi Arabia’s Crude Oil Exports Inch Up In October,0.5652173913043478
Trafigura Sees Oil At $60 Thanks To Vaccines,0.5238095238095238
Bankruptcy Hit U.S. Oil Producers To Lose Quarter Of Production In 2021,-0.29411764705882354
Norway’s 2021 Oil Investments Set To Fall Less Than Feared,-0.7142857142857143
Falling Battery Costs To Help EV Prices Match ICE Vehicles in 2023,-0.4
Permian Drillers May Face Freshwater Shortages,0.6
BP Buys Majority Stake In Top U.S. Forest Carbon Offset Developer,0.5
Biden Set To Pick Former Michigan Governor For Energy Department,1
Russian Analysts: Nord Stream 2 Could Start Gas Deliveries In 2021,0.1111111111111111
Oil Reverses After API Reports Inventory Build Across The Board,0.30434782608695654
India Starts Construction Of World’s Largest Renewable Energy Park,NA
Southeast Asia’s $200+ Billion Renewables Opportunity,0.75
North Dakota’s Oil Production Won’t Rebound Until 2022  ,-0.5
Chinese Gas Company Boasts Rising Output,0.8461538461538461
Chinese President Sets Stricter Emissions Targets,0.5714285714285714
OPEC Lowers Oil Demand Forecast While Production Rises,0.5
Libyan Government Denies Gasoline Shortage,0.1111111111111111
Europe’s Top Truck Makers Vow To Stop Diesel Vehicle Sales By 2040,0
The UK Ends Support For Overseas Oil & Gas Projects,-0.3333333333333333
Exxon Vows To Reduce Emission Intensity,-0.6363636363636364
Iran Contains Fire After Oil Pipeline Spill,-0.3333333333333333
The North Face Fashion Brand Refuses To Serve Oil Firm,1
China Looks To Boost Shale Gas Development,0.8181818181818182
Iran Expects To Sell 2.3 Million Bpd In 2021,0.2
Germany Looks To Protect Russia-Led Nord Stream 2 From US Sanctions,0.3333333333333333
EVs Take Record 15% Share Of UK’s Used Car Market,0.8181818181818182
Department Of Energy Extends LNG Export Terms,0.5555555555555556
Texas Regulator Banned From Waiving Environmental Rules,-0.7777777777777778
Aramco To Sell Stakes In Subsidiaries To Raise Cash,-0.16666666666666666
Finland Shuts Down Nuclear Reactor After ‘Severe Abnormal Disturbance’,0.3333333333333333
China Must Close Coal Power Plants By 2045 To Meet Climate Goal,-0.25
Australia Confident About Achieving 2030 Climate Targets,-0.14285714285714285
Mexico Plans Further Debt Relief For Pemex,-0.7894736842105263
Shell Nigeria Employees Vandalize Oil Pipelines,-0.25
Oil Rises As Markets Shrug Off Bearish Inventory Report,0.36363636363636365
$226 Billion Pension Fund Considers Dumping Oil & Gas Investments,-0.3333333333333333
Big Oil Boosts Earnings From Tax-Haven Affiliates,0.3333333333333333
Kurdistan To Hand Over Oil Revenue To Iraq In Exchange For Funds,-0.5
Maduro Accuses CIA Of Bribing Oil Workers,-0.5
''Widowmaker'' Natural Gas Trade Collapses On Mild Winter Forecast,-0.2631578947368421
Oil Wells On Fire After Attack On Iraqi Oilfield,-0.5
Oil Prices Slip As Oil And Product Inventories Continue To Build,0.3333333333333333
Major Oil Pipeline Operators Plan Higher Dividends,0.7142857142857143
OPEC Members Are Being Forced To Compensate For Missed Targets,-0.375
Tesla Cashes In On Stock Price Explosion With Another $5B Share Sale,0.8571428571428571
Asia Free Trade Deal Widens Oil Supply Channels To China,0.38461538461538464
ADNOC Reduces January Oil Shipments,0.2
California Is The Top U.S. Net Importer Of Electricity,-0.25
The UK Now Has Its First EV-Only Charging Station,0.25
Next OPEC+ Ministerial Meeting Reportedly Set For January 4,0.2727272727272727
Iraq’s Oil Minister Sees Oil Breaking $50 In Early 2021,0
New Activist Investor Wants Exxon To Invest More In Clean Energy,0.16666666666666666
Strike Could Shut Down All Ports In OPEC Producer Nigeria,-0.5714285714285714
France’s Total Looks To Sell Its Stake In Kurdistan Oilfield,0.09090909090909091
Denmark To End Oil Production In 2050,-0.14285714285714285
Share Of EV Registrations In UK Jumps To 9.1% In November,-0.2
IEA: Pandemic Slows Energy Efficiency Race,0.06666666666666667
"Iran's Foreign Minister: ""No Renegotiations On Nuclear Deal With Biden Period""",0.14285714285714285
