,0,0
0,,
1,"

India’s government is mulling over a plan to spin off the natural gas pipeline business of its biggest gas utility GAIL (India) Ltd in a bid to increase transparency, Bloomberg reported on Monday, citing people with knowledge of the issue.The Indian oil ministry is seeking government approval to separate the natural gas transmission business from the gas marketing activities of GAIL under a separate fully owned entity under GAIL, Bloomberg’s sources said.  The possible split of the two businesses is aimed at achieving greater transparency and potentially giving the government the opportunity to sell shares in the new entity at some later stage, according to Bloomberg.



This is not the first time that the Indian government has considered separating the transmission from the gas marketing business of GAIL.In April last year, the chairman of India’s sector regulator, the Petroleum and Natural Gas Board, D.K. Sarraf, told Reuters that India wanted to split its biggest gas marketing and trading firm, state-run GAIL (India) Ltd, into two separate companies by the end of March 2019, in a bid to open up its gas sector to industrial end-users and attract billions of U.S. dollars in investment in liquefied natural gas (LNG) terminals.These plans didn’t materialize, so now India is reportedly pursuing a spin-off of the gas transmission business.Related: IEA: Huge Oil Glut Coming In 2020



Answering a question in Parliament about the splitting of GAIL’s businesses, India’s Petroleum Minister Dharmendra Pradhan said earlier this year that the “government in-principle believes that gas transmission and marketing should be two separate functions in order to promote more transparency and competition in both gas marketing and transmission activities.”  According to the BP Energy Outlook – 2019, India’s share of total global primary energy demand is expected to roughly double to around 11 percent by 2040, driven by strong population growth and economic development. India’s natural gas demand—after having surged by 200 percent between 1995 and 2017—is expected to soar by another 242 percent until 2040, at an annual growth rate of 5.5 percent.India’s domestic gas production will rise only modestly amid this surging demand, meaning that India’s reliance on natural gas imports is set to continue to grow significantly, BP reckons. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Oil Rises On U.S. Shut-Ins, Impressive Chinese DataWTI Tops $60 On Gulf Of Mexico Shut-InsAn Unexpected Boon For Alberta’s Oil Producers


",
2,"

China’s greenhouse gas emissions jumped by 53.5 percent in the decade between 2005 and 2014, according to Chinese government figures that Beijing is obliged to report as a signatory to the United Nations Framework Convention on Climate Change.hinese emissions hit 12.3 billion tons in 2014, which was a more than 50-percent surge compared to emissions in 2005, the figures, cited by Reuters, showed.Carbon emissions data from China, the world’s largest greenhouse gas emission producer, is opaque, but the country has to regularly report data to the United Nations. China has previously reported carbon emission data for 2005 and 2010, Reuters says.



A study published in Nature Geoscience in July last year argued that China’s carbon dioxide (CO2) emissions peaked in 2013 at 9.53 gigatons and have declined in each of the following three years to 2016. According to the authors of the study, the slowing pace of Chinese economic growth has made it easier to cut emissions. The biggest drivers of the decrease in CO2 emissions between 2014 and 2016 were changes in China’s industrial structure and diminishing share of coal in energy consumption. The authors concluded that “the decline of Chinese emissions is structural and is likely to be sustained if the nascent industrial and energy system transitions continue.”China has pledged that its total CO2 emissions would peak around 2030 and its carbon intensity would fall sharply by then. Last week, Chinese media reported that China is vowing to continue its efforts to fight climate change and boost energy saving and speed up emissions reduction.As for the United States' carbon emissions, earlier this year, Dr. Fatih Birol, the Executive Director of the International Energy Agency (IEA), said the U.S. CO2 emissions reduction over the past decade has been the largest cut in emissions in the history of energy.



The IEA, however, has a stark warning to the world: last year global carbon emissions reached 33.1 gigatons, breaking their previous record even though the annual increase was relatively modest, at 1.7 percent. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Why Oil Tankers In The Middle East Shouldn’t Hire MercenariesOil Rises On U.S. Shut-Ins, Impressive Chinese DataWTI Tops $60 On Gulf Of Mexico Shut-Ins


",
3,"

A natural gas pipeline in central Syria, which is under government control, went out of service on Sunday after militants attacked it, Syria’s state news agency SANA reported.The gas pipeline was attacked by terrorists in the Homs province of Syria, where remnants of Islamic State militants are still active, despite the terrorist group losing nearly all the territory it once held in Syria.The pipeline attack by terrorists cut the natural gas flow from the al-Shaer gas field, the country’s largest, to the Ebla gas processing plant, SANA reports, without specifying who the terrorists were.



The gas pipeline carries some 2.5 million cubic meters of natural gas to the Ebla processing plant, and from the plant to power stations in the area.Technical teams are busy fixing the gas pipeline in order to resume pumping gas in the coming hours, the Syrian state news agency added.After ISIS was pushed out of most of Syrian territory, remnants of the terrorist organization spread to the semi-desert Badia area and try to attack residential areas and vital infrastructure. Syrian government forces often clash with the remnants of Islamic State in the area.



It is not clear yet who the attackers of the gas pipeline were—ISIS or parties from “within the Syrian regime which are benefiting from getting this line out of service,” the Syrian Observatory for Human Rights, a UK-based war monitor, said on Sunday.Whoever the attackers were, the gas pipeline going out of service is the latest blow to Syria’s embattled energy sector, following sabotages on oil pipelines in the country at the end of June.Five underwater pipelines carrying crude oil were sabotaged in the third weekend of June, the Syrian Petroleum and Mineral Resources Ministry said on June 23. The damage done, however, must not have been extensive, because the ministry also said repairs had started immediately and the pipelines would return to normal operation in hours.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:This Arms Deal Could Trigger A New ‘’Cold War’’IEA: Huge Oil Glut Coming In 202024/7 Power: The Future Of Solar


",
4,"

The UK will facilitate the release of the Iranian oil tanker detained by Gibraltar earlier this month if Iran gave guarantees that the crude loaded on that vessel wasn’t bound for Syria, the UK’s Foreign Secretary Jeremy Hunt said over the weekend.In early July, Gibraltar, assisted by Royal Marines, detained a super tanker carrying crude oil to Syria because it had “reasonable grounds” to believe that the Iranian ship Grace 1 was violating European Union sanctions against Syria.Shipping data that Reuters has reviewed suggests that the tanker en route to Syria was loaded with Iranian oil off the Iranian coast. If the tanker indeed loaded oil from Iran, it was not only in breach of EU sanctions on the Syrian entity owning the refinery believed to be the destination of the oil, but it also violated the U.S. sanctions on Iran’s oil exports.



Tensions between the UK and Iran quickly escalated after the seizure of the Iranian tanker, with Tehran threatening to seize a UK-flagged vessel, and last week trying to block a British-flagged oil tanker near the Strait of Hormuz.After speaking to Iran’s Foreign Minister Javad Zarif, the UK’s Foreign Secretary Hunt tweeted on Saturday:“Just spoke to Iranian Foreign Minister Zarif. Constructive call. I reassured him our concern was destination not origin of the oil on Grace One &that UK would facilitate release if we received guarantees that it would not be going to Syria, following due process in Gib courts.”Zarif assured Hunt that Iran wants to resolve the issue and “is not seeking to escalate,” the UK foreign secretary added.



Early on Monday, Hunt said that he was heading to Brussels “for urgent talks on how to reduce tensions with Iran. Their approach to Mid East has been profoundly destabilising but we want to reduce not raise tensions over Grace 1 and avoid a nuclearised region.”Meanwhile, the Chief Minister of Gibraltar, Fabian Picardo, discussed the issue of the detained tanker with Hunt before Hunt spoke to the Iranian foreign minister, and said in a statement:“I also asked that the Foreign Secretary should communicate to the Iranian authorities that Gibraltar remained determined to enforce the EU sanctions against Syria through our Court processes but that we would be prepared to facilitate the release of the detained assets to a rightful claimant if we were satisfied that we had received guarantees that it would not be going to Syria or to any entity sanctioned under the relevant EU regulations.”   By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Middle East Tanker Insurance Rates Soar 10-FoldWhy This Oil Rally Won’t LastOil & Gas Discoveries Rise In High-Risk Oil Frontiers


",
5,"

The utility servicing New York City will be investigating the root cause of the massive power outage on the West Side of Manhattan on Saturday evening, while cyber and physical attacks have already been ruled out as causes for the blackout.Late on Saturday afternoon, Con Edison, the company servicing New York, said that it was responding to “extensive outages on the Westside of Manhattan.”  The power outage plunged Midtown Manhattan into darkness, cut short dozens of evening Broadway shows, and forced officials to evacuate 25,000 fans of a sold-out Jennifer Lopez concert at the Madison Square Garden after the blackout cut electricity three songs into the set list.  There have been no reports of anyone hurt or injured during the blackout, although the Fire Department had to respond to calls for more than 400 stuck elevators across Manhattan.



Early on Sunday, Con Edison said that crews had completed the restoration of the power to 72,000 customers on the West Side of Manhattan who were left without electricity for five hours after 7 p.m. on Saturday.“With all customers back in service, the company will focus on investigating the cause of the equipment failures and on getting the electrical-delivery system back to its normal level of reliability,” Con Edison said.“This was not a cyber attack and this was not an act of physical terrorism,” New York mayor Bill de Blasio said.The outage was not caused by heavy demand either, as it occurred during a period of low power usage, de Blasio noted.



“While this situation was luckily contained, the fact that it happened at all is unacceptable,” New York State Governor Andrew Cuomo said, adding that he had directed the Public Service Commission to do “a full and thorough investigation into the cause of tonight's blackout and we will hold all parties accountable in ensuring this does not happen again.” Con Edison has been fined by PSC in the past—for example in 2007 with US$18 million for power failures, including a nine-day blackout in part of Queens in 2006.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:IEA: Huge Oil Glut Coming In 2020An Unexpected Boon For Alberta’s Oil ProducersSigns Of Slower Permian Oil Growth Continue To Emerge


",
6,"

The Pentagon is scrambling to find a way to develop the United States’ rare earths mining capability as the trade war with China threatens to disrupt the flow of the critical minerals to the United States, according to a Reuters exclusive.At present, about 85% the world’s rare earths mining and refining capacity is in China, and because of this, the United States finds itself in a risky position. This position was made even risker when just weeks ago, China threatened to restrict rare earths exports to the United States. If that happened, production of items that require the minerals would be disrupted, which include iPhones and other consumer electronics,  lasers, electric vehicles, and much more.The United States imports 80% of the rare earths it used between 2014 and 2017, with the United States being the home only to one rare earths mining operation: Mountain Pass. But while Mountain Pass can mine the minerals, it doesn’t have the power to process them. So, it ships the minerals to China to be refined. Ring the alarm bells.



On top of that, the owner of Mountain Pass, MP Materials, is backed in part by a Chinese company, who holds a minority, non-voting stake in MP Materials. Ring ring.To stave off what could be a disastrous situation, Washington is finally ready to act, asking miners to come up with plans to develop rare earths on US soil, including both the mining and the processing facilities, according to Reuters. The Pentagon is asking for a quick response from interested miners—just a few weeks, in fact, by July 31.Along with the request for interested miners, the Pentagon also asked manufacturers to detail their future demand for rare earths to better assess the country’s need for the minerals going forward.



Even if the Pentagon is successful in developing rare earth minerals in the United States, it will be years before the United States can shake its China minerals habit.By Julianne Geiger for Oilprice.comMore Top Reads From Oilprice.com:The Bullish Case For OilMiddle East Tanker Insurance Rates Soar 10-FoldWhy This Oil Rally Won’t Last


",
7,"

Growing natural gas production from the Vaca Muerta shale play has recently helped Argentina to export its first liquefied natural gas (LNG) cargo and to resume pipeline natural gas exports to its neighbors Brazil and Chile, the U.S. Energy Information Administration (EIA) said in a report on Friday.  Argentina was a net exporter of natural gas between 1990 and 2007, but with declines in natural gas production from mature fields, the country became a net importer of natural gas in 2008.The shale gas production from the Vaca Muerta formation has been steadily rising in recent years and has been the main contributor to the to the country’s natural gas production.



Thanks to Vaca Muerta’s output, which accounts for some 23 percent of Argentina’s total gross natural gas production, Argentina shipped in June its first LNG cargo from the offshore Tango floating liquefaction unit (FLNG).According to the EIA, Tango FLNG has a production capacity of 500,000 metric tons (0.07 Bcf/d) of LNG and is expected to produce up to eight LNG-export cargoes annually. However, Argentina’s LNG export growth will need investments in pipelines and onshore liquefaction facilities or the use of more FLNG units, the EIA noted. After becoming a net natural gas importer in 2008, Argentina imported both pipeline and LNG throughout the year. But as natural gas production has been growing, in the past two years Argentina imported LNG only in the cooler months, March through October.



“Argentina will likely continue importing LNG during cooler months until additional pipeline infrastructure is built to deliver growing shale production to major demand centers,” the EIA said.Argentina could become a major LNG supplier to Asian markets because Argentina’s peak LNG potential in the southern hemisphere’s summer coincides with strong demand in Asia in the northern hemisphere’s winter, Wood Mackenzie said last month.Vaca Muerta has been one of the few bright spots in shale gas production outside the United States, but it hasn’t come even close to replicating the U.S. shale revolution. Now developers are turning their attention to exporting natural gas and to tapping more oil in the Vaca Muerta formation.  By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:Oil Jumps On Hefty Crude DrawA Red Flag For Oil? China’s Crude Consumption Is FalteringIncreasingly Weak Demand Outlook Caps Oil Prices


",
8,"

Amid escalating UK-Iran tensions in the Middle East, the UK is deploying a second warship to the Persian Gulf to operate for a brief time alongside the ship that fended off an Iranian attempt to block an oil tanker earlier this week.The UK will send the HMS Duncan, which is currently in the Mediterranean, to the Persian Gulf, and she is expected to join next week the HMS Montrose, the ship that ensured safe passage of a UK tanker through the Strait of Hormuz when it was approached by Iranian military boats earlier this week.The UK has issued a ‘heightened security’ alert for all Britain-flagged commercial vessels passing through the Strait of Hormuz in recent days, Sky News reported on Thursday, quoting two maritime industry sources.The UK Department for Transport has issued updated guidance in recent days as Iran threatened retaliation after Gibraltar detained last week an Iranian oil tanker en route to Syria.   



According to one of Sky News’ sources, UK-flagged ships were advised to keep high alert for Iranian patrol boats “being aggressive towards them.”Iranian military boats did try to seize a British oil tanker near the Strait of Hormuz after threats of “consequences” for the UK following the seizure of the Iranian tanker by Gibraltar.After the escalation of tensions this week, the UK is sending the second warship that will briefly operate alongside HMS Montrose before HMS Montrose comes off for scheduled maintenance.  “As part of our long-standing presence in the Gulf, HMS Duncan is deploying to the region to ensure we maintain a continuous maritime security presence while HMS Montrose comes off task for pre-planned maintenance and crew changeover,” a UK government spokeswoman said on Friday, as carried by the BBC.



“This will ensure that the UK, alongside international partners, can continue to support freedom of navigation for vessels transiting through this vital shipping lane,” the government said.The Strait of Hormuz is the most important oil chokepoint in the world with daily oil flows averaging 21 million bpd, or the equivalent of 21 percent of global petroleum liquids consumption. By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:A Red Flag For Oil? China’s Crude Consumption Is FalteringIncreasingly Weak Demand Outlook Caps Oil PricesOil & Gas Discoveries Rise In High-Risk Oil Frontiers


",
9,"

Weighed down by depressed refining margins earlier this year, refiners across Asia have recently reduced production and some closed down for maintenance, thus boosting Asian refining margins in the past three weeks to their highest since September 2017, Reuters reported on Friday, citing data from Refinitiv.In the last three weeks, the benchmark Singapore refining margin more than tripled to US$9.37 a barrel at Thursday’s close of Asian markets, from just US$2.74 per barrel on June 21. Profits for gasoline, diesel, naphtha, jet fuel, and high-sulfur fuel oil (HFSO) have all increased in the past weeks, after falling to multi-year lows earlier in the year, Reuters reported.Some refiners across Asia have shut down for maintenance, and others have reduced fuels production after Asia’s refining margins slipped to a 16-year low in May.



Some Chinese refiners are also curtailing refinery runs in the third quarter as massive refinery start-ups and slowing domestic fuel demand have created a fuel glut in the country, hurting refining margins. A fuel glut coming from China weighed heavily on Asian margins earlier this year. An increase in refining capacity, particularly from the independent refiners, and another increase in oil product export quotas have seen a substantial increase in the availability of Chinese oil products in the region, and this increase has added its own pressure to refining margins.Although refiners in Asia were not left without choice for crude after the end of the U.S. sanction waivers for Iranian oil, the higher price of alternative supplies, as well as soaring fuel exports from China, were depressing refining margins across Asia in May and for most of June.



Asian oil buyers haven’t had problems with procuring alternate supplies of crude oil to their usual cheap Iranian supplies, but the barrels replacing Iran’s oil come at higher prices that hurt the profits of refiners across Asia.By Tsvetana Paraskova for Oilprice.comMore Top Reads From Oilprice.com:The Bullish Case For OilMiddle East Tanker Insurance Rates Soar 10-FoldWhy This Oil Rally Won’t Last


",
