,0,1,2
0,https://oilprice.com/Latest-Energy-News/World-News/US-Banks-Want-To-Continue-Choosing-Whether-To-Lend-Money-To-Oil-Gas.html,U.S. Banks Don't Want To Be Forced To Lend Money To Oil & Gas,"Jan 06, 2021 at 13:29 | Tsvetana Paraskova"
1,https://oilprice.com/Latest-Energy-News/World-News/Exxon-Discloses-Value-Chain-Emissions.html,Exxon Discloses Value-Chain Emissions,"Jan 06, 2021 at 12:15 | Irina Slav"
2,https://oilprice.com/Latest-Energy-News/World-News/Guards-Block-Oil-Loading-At-Libyan-Port.html,Guards Block Oil Loading At Libyan Port,"Jan 06, 2021 at 10:27 | Charles Kennedy"
3,https://oilprice.com/Latest-Energy-News/World-News/Alaska-Judge-Rules-In-Favor-Of-Oil-Gas-Drilling-In-Wildlife-Refuge.html,"Alaska Judge Rules In Favor Of Oil, Gas Drilling In Wildlife Refuge","Jan 06, 2021 at 09:30 | Charles Kennedy"
4,https://oilprice.com/Latest-Energy-News/World-News/Oil-Rally-Unaffected-By-Major-Product-Builds.html,Oil Rally Unaffected By Major Product Builds,"Jan 05, 2021 at 15:39 | Julianne Geiger"
5,https://oilprice.com/Latest-Energy-News/World-News/These-US-Oil-States-Are-Holding-Lease-Sales-In-January.html,These U.S. Oil States Are Holding Lease Sales In January,"Jan 05, 2021 at 13:31 | Tsvetana Paraskova"
6,https://oilprice.com/Latest-Energy-News/World-News/Investment-In-Canadas-Oil-Industry-Set-To-Grow-12-In-2021.html,Investment In Canada’s Oil Industry Set To Grow 12% In 2021,"Jan 05, 2021 at 12:08 | Tsvetana Paraskova"
7,https://oilprice.com/Latest-Energy-News/World-News/Somalian-Opposition-Suspects-Government-Will-Sign-Secret-Oil-Deals.html,Somalian Opposition Suspects Government Will Sign Secret Oil Deals,"Jan 05, 2021 at 11:06 | Tsvetana Paraskova"
8,https://oilprice.com/Latest-Energy-News/World-News/South-Korea-Sends-Military-Forces-To-Strait-Of-Hormuz-After-Tanker-Seizure.html,South Korea Sends Military Forces To Strait Of Hormuz After Tanker Seizure,"Jan 05, 2021 at 10:34 | Irina Slav"
9,https://oilprice.com/Latest-Energy-News/World-News/Trump-Administration-Finalizes-Alaska-Oil-Drilling-Plan.html,Trump Administration Finalizes Alaska Oil Drilling Plan,"Jan 05, 2021 at 08:44 | Charles Kennedy"
10,https://oilprice.com/Latest-Energy-News/World-News/Venezuelas-2020-Oil-Exports-Plunged-To-The-Lowest-Level-In-77-Years.html,Venezuela’s 2020 Oil Exports Plunged To The Lowest Level In 77 Years,"Jan 04, 2021 at 16:41 | Tsvetana Paraskova"
11,https://oilprice.com/Latest-Energy-News/World-News/Russias-Annual-Oil-Production-Drops-For-The-First-Time-Since-2008.html,Russia’s Annual Oil Production Drops For The First Time Since 2008,"Jan 04, 2021 at 16:39 | Tsvetana Paraskova"
12,https://oilprice.com/Latest-Energy-News/World-News/Natural-Gas-Prices-Jump-On-Cold-Weather-Forecast.html,Natural Gas Prices Jump On Cold Weather Forecast,"Jan 04, 2021 at 15:13 | ZeroHedge "
13,https://oilprice.com/Latest-Energy-News/World-News/Tesla-Hit-Target-Of-500000-Vehicle-Deliveries-In-2020.html,"Tesla Hit Target Of 500,000 Vehicle Deliveries In 2020","Jan 04, 2021 at 14:32 | Tsvetana Paraskova"
14,https://oilprice.com/Latest-Energy-News/World-News/Gold-Rallies-Into-The-New-Year.html,Gold Rallies Into The New Year,"Jan 04, 2021 at 13:04 | MINING.com "
15,https://oilprice.com/Latest-Energy-News/World-News/Iraq-Seals-Much-Needed-2-Billion-Oil-Deal-With-China.html,Iraq Seals Much-Needed $2 Billion Oil Deal With China,"Jan 04, 2021 at 11:22 | Irina Slav"
16,https://oilprice.com/Latest-Energy-News/World-News/Oil-Highly-Volatile-During-OPEC-Meeting.html,Oil Highly Volatile During OPEC+ Meeting,"Jan 04, 2021 at 10:25 | Liubov Georges"
17,https://oilprice.com/Latest-Energy-News/World-News/Iran-Seizes-South-Korea-Flagged-Oil-Tanker-In-Persian-Gulf.html,Iran Seizes South Korea-Flagged Oil Tanker In Persian Gulf,"Jan 04, 2021 at 09:45 | Tsvetana Paraskova"
18,https://oilprice.com/Latest-Energy-News/World-News/Possible-Mine-Found-On-Oil-Tanker-Off-Iraq.html,Possible Mine Found On Oil Tanker Off Iraq,"Dec 31, 2020 at 12:31 | Julianne Geiger"
19,https://oilprice.com/Latest-Energy-News/World-News/Exxon-Set-For-Fourth-Loss-In-2020-After-20-Billion-Write-Down.html,Exxon Set For Fourth Loss In 2020 After $20-Billion Write-Down,"Dec 31, 2020 at 09:25 | Tsvetana Paraskova"
20,https://oilprice.com/Latest-Energy-News/World-News/OPEC-Compliance-Continues-To-Exceed-100.html,OPEC+ Compliance Continues To Exceed 100%,"Dec 30, 2020 at 16:14 | Julianne Geiger"
21,https://oilprice.com/Latest-Energy-News/World-News/Gazproms-Oil-Unit-Plunges-Into-Crypto-Mining.html,Gazprom’s Oil Unit Plunges Into Crypto Mining,"Dec 30, 2020 at 15:56 | Tsvetana Paraskova"
22,https://oilprice.com/Latest-Energy-News/World-News/Iran-To-Buy-Covid-Vaccines-With-Income-From-Gas-Exports-To-Iraq.html,Iran To Buy Covid Vaccines With Income From Gas Exports To Iraq,"Dec 30, 2020 at 13:21 | Tsvetana Paraskova"
23,https://oilprice.com/Latest-Energy-News/World-News/UAE-Based-Firms-Help-Venezuelas-Oil-Exports-To-Skirt-US-Sanctions.html,UAE-Based Firms Help Venezuela’s Oil Exports To Skirt U.S. Sanctions,"Dec 30, 2020 at 08:44 | Tsvetana Paraskova"
