words,polarity
blockade,0.19170734990189583
shutdown,0.1976877172263404
blockades,0.19970533786437278
blockaded,0.20083328942752696
failing,0.20125208876133496
damage,0.20237914699622483
damaged,0.20480373877943567
failed,0.20733221723598208
los,0.2085552736704932
blocked,0.20939866691073475
blocking,0.2103041496802403
landlocked,0.2115627389854892
failures,0.21208620216373894
downgraded,0.21245649287288118
blocks,0.21266498437032272
litigation,0.21417836544965488
fails,0.21429508619448806
fail,0.2145959227747939
badly,0.21471021854261313
lockdown,0.21605436701480907
wrongdoing,0.21624525084648288
failure,0.21808239335872412
locked,0.21882370215672545
damages,0.21896410717396841
lockdowns,0.21979191291088276
downgrades,0.22044614445791935
losers,0.22170115186049255
crackdown,0.22219063825466534
downgrade,0.2223505466708906
loses,0.2242903655542515
wrong,0.22635884296789532
lost,0.22658498731471513
downturn,0.22670287931787989
bad,0.2273634568644398
negatively,0.22911297642814749
damaging,0.22991323821716828
locking,0.2308510226259038
downside,0.23553966132952237
lose,0.23996672531710353
volatile,0.2420706049111542
volatility,0.24748807935916456
slowdown,0.251154746985709
meltdown,0.2520086944542214
downstream,0.26765252959375946
losing,0.2693090427369321
losses,0.27847636605279236
downward,0.28372219459926196
loss,0.2840618406997786
negative,0.29092648705226426
manitoba,0.36614464574343647
pandemic,0.3718443073387067
majeure,0.3732153427757988
libyan,0.3747204721682102
refusing,0.3812482615059293
fitch,0.3829459804004218
collision,0.3852783116198554
mechanisms,0.3857571659330195
agreed,0.38708290748209917
demanded,0.38833265417255886
order,0.38920139936744197
moratorium,0.38954646287251044
spill,0.38961659472091614
definitive,0.3907046526568166
rating,0.39128062934420843
outbreak,0.39167938329555996
hiatus,0.3927146645332776
valve,0.39285048496420677
suspension,0.39327248898254585
anger,0.3933931253314213
kirkuk,0.3946638485333677
infections,0.3948086166419236
noc,0.395105633750527
infiltration,0.3958321862887424
destroyed,0.39667990993232494
climatic,0.396919975541425
extinguished,0.39767171306529436
ratings,0.39770599014271224
nationwide,0.39853851051495065
earthquake,0.3987540918324738
contamination,0.399083540633578
gathered,0.39915348148284746
willingness,0.3995677833951716
minimal,0.3996278150614033
lifted,0.4000790158833888
crash,0.40008840935265066
wars,0.4003833949183512
brutal,0.40123137339518433
khuzestan,0.40126234686082013
havoc,0.4013040800261167
decides,0.4013234267061696
returned,0.40140422321648844
collapse,0.4019342730040974
tried,0.40194376984433816
spread,0.40263300795469653
strike,0.40274427202856233
investigated,0.40293061721282936
negotiated,0.40309405015799155
agrees,0.40322010635482264
decided,0.40352230326177
refused,0.4041196531315263
iraqi,0.404187863730866
managed,0.40429385119026545
cases,0.4046918051058763
toll,0.40544419431627055
reluctant,0.4055566422644913
reluctance,0.4057058945735934
vandals,0.40586155994241285
wave,0.4058718527011148
virus,0.4059739258793072
notch,0.4061244359503323
liabilities,0.40615735332441283
vowed,0.4063429418269986
uncertainties,0.4064060091903545
sharara,0.4067980756586263
pledged,0.4072442201723407
sought,0.40784637024182957
basket,0.40802917802724553
basis,0.4081880043515292
depression,0.4083077722785327
hospitals,0.4084517629254919
promised,0.40873905651907977
extensions,0.40879403321420626
disclosed,0.40882301497801327
peculiarities,0.4091256802267667
dramatic,0.4092436144856093
moved,0.4093883332361922
stipulation,0.4094584942604226
crescent,0.40969628378052325
tested,0.4099529470895052
investigations,0.4101024510581939
possible,0.410536237836581
blacklisted,0.4108509882559429
coronavirus,0.41089899063835483
performing,0.41096241637139547
explosion,0.4109849169053627
strain,0.4110822984419072
struggled,0.4111750811061064
lna,0.4112638718872923
rocked,0.41128543500049436
explosions,0.41130067432793244
libya,0.41136576761289223
heightened,0.4115350230424356
rosy,0.4115468345374316
shocks,0.41214602957571683
pocket,0.4126642375269448
disappointed,0.41271280602031746
arrangements,0.41306709952333365
tapped,0.4132573316664684
